Name,Member,StabAtk,SlashAtk,CrushAtk,MagicAtk,RangedAtk,StabDef,SlashDef,CrushDef,MagicDef,RangedDef,MeleStr,RangedStr,MagicStr,Prayer,Weigth,Speed,Type, 
Kitchen knife,Members,25,12,-4,1,0,0,0,0,1,0,24,0,0,0,0.453,4,Stabbing swords,
Kodai wand,Members,0,0,0,28,0,0,3,3,20,0,0,0,15,0,0.198,4,Staves,
Kruk monkey greegree,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Lava battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Lava battlestaff (or),Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Leaf-bladed battleaxe,Members,-2,72,72,0,0,0,0,0,0,-1,92,0,0,0,2.721,5,Axes,
Leaf-bladed sword,Members,67,62,0,0,0,0,0,0,0,0,50,0,0,0,1.814,4,Stabbing swords,
Lovakengj banner,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Polestaves,
Lucky cutlass,Members,5,20,0,-5,0,6,6,6,0,0,25,0,0,0,1.814,4,Slashing swords,
Lucky shot flag,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Lunar staff,Members,3,2,16,13,0,2,3,2,13,1,15,0,0,3,2.267,5,Staves,
Lunar staff - pt1,Members,-1,-1,10,10,0,2,3,1,10,0,10,0,0,0,1.814,4,Staves,
Lunar staff - pt2,Members,-1,-1,10,10,0,2,3,1,10,0,10,0,0,0,1.814,4,Staves,
Lunar staff - pt3,Members,-1,-1,10,10,0,2,3,1,10,0,10,0,0,0,1.814,4,Staves,
Lyre,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,4,Unarmed,
Machete,Members,0,6,-2,0,0,0,0,0,0,0,5,0,0,0,1.36,5,Slashing swords,
Magic butterfly net,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,6,Spears,
Magic secateurs Nightmare_Zone,Members,7,9,-5,1,0,0,1,0,1,0,1,0,0,0,0.453,5,Stabbing swords,
Magic secateurs Regular,Members,7,9,-5,1,0,0,1,0,1,0,1,0,0,0,0.453,5,Stabbing swords,
Magic staff,Free-to-play,2,-1,10,10,0,2,3,1,10,0,7,0,0,0,2.267,5,Staves,
Maple blackjack,Members,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1.814,4,Blunt weapons,
Maple blackjack(d),Members,0,0,0,0,0,0,0,24,0,0,20,0,0,0,1.814,4,Blunt weapons,
Maple blackjack(o),Members,0,0,24,0,0,0,0,0,0,0,20,0,0,0,1.814,4,Blunt weapons,
Master wand,Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0.198,4,Staves,
Meat tenderiser,Members,-4,-4,53,-4,0,0,0,0,0,0,48,0,0,0,1.814,6,Blunt weapons,
Mist battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Mith crossbow,Members,0,0,0,0,66,0,0,0,0,0,0,0,0,0,5,6,Crossbows,
Mithril axe,Free-to-play,-2,12,10,0,0,0,1,0,0,0,13,0,0,0,1.133,5,Axes,
Mithril battleaxe,Free-to-play,-2,22,17,0,0,0,0,0,0,-1,29,0,0,0,2.267,6,Axes,
Mithril dagger,Free-to-play,11,5,-4,1,0,0,0,0,1,0,10,0,0,0,0.396,4,Stabbing swords,
Mithril dart,Members,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,3,Thrown weapons,
Mithril hasta Karambwan_poison,Members,17,17,17,0,0,-5,-5,-4,0,-5,18,0,0,0,1.814,5,Spears,
Mithril hasta Unpoisoned,Members,17,17,17,0,0,-5,-5,-4,0,-5,18,0,0,0,1.814,5,Spears,
Mithril knife,Members,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,3,Thrown weapons,
Mithril longsword,Free-to-play,15,20,-2,0,0,0,3,2,0,0,22,0,0,0,1.587,5,Slashing swords,
Mithril mace,Free-to-play,11,-2,18,0,0,0,0,0,0,0,16,0,0,3,1.587,5,Spiked weapons,
Mithril pickaxe Nightmare_Zone,Members,12,-2,10,0,0,0,1,0,0,0,13,0,0,0,2.267,5,Pickaxes,
Mithril pickaxe Regular,Free-to-play,12,-2,10,0,0,0,1,0,0,0,13,0,0,0,1.814,5,Pickaxes,
Mithril scimitar,Free-to-play,5,21,-2,0,0,0,1,0,0,0,20,0,0,0,1.587,4,Slashing swords,
Mithril sword,Free-to-play,16,11,-2,0,0,0,2,1,0,0,17,0,0,0,1.587,4,Stabbing swords,
Mithril thrownaxe,Members,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,5,Thrown weapons,
Mithril warhammer,Free-to-play,-4,-4,25,-4,0,0,0,0,0,0,20,0,0,0,1.587,6,Blunt weapons,
Mixed flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Monkey talisman,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,4,Unarmed,
Morrigan's javelin,Members,0,0,0,0,105,0,0,0,0,0,0,145,0,0,0,6,Thrown weapons,
Mouse toy,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.1,4,Blunt weapons,
Mud battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Mud pie,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.001,4,Thrown weapons,
Mystic air staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic dust staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic earth staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic fire staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic lava staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic lava staff (or),Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic mist staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic mud staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic smoke staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic steam staff,Members,7,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic steam staff (or),Members,7,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Mystic water staff,Members,10,-1,40,10,0,2,3,1,10,0,50,0,0,0,2.267,5,Staves,
Nightmare staff,Members,0,0,0,16,0,0,0,0,14,0,0,0,15,0,1.5,5,Staves,
Ninja monkey greegree (medium),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Ninja monkey greegree (small),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Noose wand,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,4,Spears,
Oak blackjack,Members,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.814,4,Blunt weapons,
Oak blackjack(d),Members,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1.814,4,Blunt weapons,
Oak blackjack(o),Members,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1.814,4,Blunt weapons,
Oily pearl fishing rod,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481,5,Unarmed,
Opal machete,Members,0,8,-2,0,0,0,1,1,0,0,4,0,0,0,1.36,5,Slashing swords,
Orange flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Peaceful handegg,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,4,Unarmed,
Pearl barbarian rod,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,5,Unarmed,
Pearl fishing rod,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,5,Unarmed,
Pearl fly fishing rod,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,5,Unarmed,
Phasmatys flag,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Phoenix crossbow,Free-to-play,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3.628,6,Crossbows,
Piscarilius banner,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Banners,
Prop sword,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Stabbing swords,
Pugel,Members,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1.36,4,Spears,
Purple flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Rapier,Members,45,7,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Stabbing swords,
Rat pole Empty,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Rat pole Five_rats,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Rat pole Four_rats,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Rat pole One_rat,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Rat pole Six_rats,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Rat pole Three_rats,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Rat pole Two_rats,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,2.267,5,Blunt weapons,
Red chinchompa,Members,0,0,0,0,70,0,0,0,0,0,0,15,0,0,0,4,Chinchompas,
Red flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Red topaz machete,Members,0,16,-2,0,0,0,1,1,0,1,10,0,0,0,1.36,4,Slashing swords,
Rod of ivandis,Members,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,0.001,5,Staves,
Rolling pin,Members,20,-2,39,0,0,0,0,0,0,0,36,0,0,4,1.814,5,Blunt weapons,
Royal sceptre,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.535,4,Polestaves,
Rubber chicken,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Blunt weapons,
Ruby sickle (b),Members,0,0,0,0,0,0,1,1,1,1,4,0,0,5,1.587,5,Slashing swords,
Rune axe,Free-to-play,-2,26,24,0,0,0,1,0,0,0,29,0,0,0,1.36,5,Axes,
Rune battleaxe,Free-to-play,-2,48,43,0,0,0,0,0,0,-1,64,0,0,0,2.721,6,Axes,
Rune cane,Members,20,-2,39,0,0,0,0,0,0,0,36,0,0,4,1.814,5,Spiked weapons,
Rune crossbow,Members,0,0,0,0,90,0,0,0,0,0,0,0,0,0,6,6,Crossbows,
Rune dagger,Free-to-play,25,12,-4,1,0,0,0,0,1,0,24,0,0,0,0.453,4,Stabbing swords,
Rune dart,Members,0,0,0,0,15,0,0,0,0,0,0,14,0,0,0,3,Thrown weapons,
Rune hasta Karambwan_poison,Members,36,36,36,0,0,-10,-10,-9,0,-10,42,0,0,0,2.267,5,Spears,
Rune hasta Unpoisoned,Members,36,36,36,0,0,-10,-10,-9,0,-10,42,0,0,0,2.267,5,Spears,
Rune knife,Members,0,0,0,0,25,0,0,0,0,0,0,24,0,0,0,3,Thrown weapons,
Rune longsword,Free-to-play,38,47,-2,0,0,0,3,2,0,0,49,0,0,0,1.814,5,Slashing swords,
Rune mace,Free-to-play,20,-2,39,0,0,0,0,0,0,0,36,0,0,4,1.814,5,Spiked weapons,
Rune pickaxe Nightmare_Zone,Members,26,-2,24,0,0,0,1,0,0,0,29,0,0,0,2.267,5,Pickaxes,
Rune pickaxe Regular,Free-to-play,26,-2,24,0,0,0,1,0,0,0,29,0,0,0,2.267,5,Pickaxes,
Rune scimitar,Free-to-play,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Slashing swords,
Rune scimitar (guthix),Free-to-play,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Slashing swords,
Rune scimitar (saradomin),Free-to-play,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Slashing swords,
Rune scimitar (zamorak),Free-to-play,7,45,-2,0,0,0,1,0,0,0,44,0,0,0,1.814,4,Slashing swords,
Rune sword,Free-to-play,38,26,-2,0,0,0,2,1,0,0,39,0,0,0,1.814,4,Stabbing swords,
Rune thrownaxe,Members,0,0,0,0,26,0,0,0,0,0,0,36,0,0,0,5,Thrown weapons,
Rune warhammer,Free-to-play,-4,-4,53,-4,0,0,0,0,0,0,48,0,0,0,1.814,6,Blunt weapons,
Sanguinesti staff Charged,Members,0,0,0,25,-4,2,3,1,15,0,0,0,0,0,1.5,4,Powered staves,
Sanguinesti staff Uncharged,Members,0,0,0,25,-4,2,3,1,15,0,0,0,0,0,1.5,4,Powered staves,
Sarachnis cudgel,Members,30,0,70,0,0,0,0,0,0,0,70,0,0,0,0.453,4,Spiked weapons,
Saradomin banner,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Saradomin crozier,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,2,5,Staves,
Saradomin staff,Members,-1,-1,6,6,0,2,3,1,6,0,2,0,0,0,2.267,5,Staves,
Severed leg,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,1.8,4,Blunt weapons,
Shayzien banner,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Polestaves,
Silver sickle,Members,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.587,5,Slashing swords,
Silver sickle (b),Members,0,0,0,0,0,0,1,1,1,1,1,0,0,5,1.587,5,Slashing swords,
Silverlight Dyed,Members,9,14,-2,0,0,0,3,2,1,0,12,0,0,0,1.814,5,Slashing swords,
Silverlight,Free-to-play,9,14,-2,0,0,0,3,2,1,0,12,0,0,0,1.814,5,Slashing swords,
Skewer,Members,20,29,-2,0,0,0,3,2,0,0,31,0,0,0,2.041,5,Slashing swords,
Skull sceptre,Free-to-play,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,1.814,5,Polestaves,
Slayer's staff,Members,7,-1,25,12,0,2,3,1,10,0,35,0,0,0,1.814,4,Staves,
Smoke battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Snowball,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Unarmed,
Spork,Members,11,8,-2,0,0,0,2,1,0,0,12,0,0,0,1.814,4,Stabbing swords,
Staff,Free-to-play,0,-1,7,4,0,2,3,1,4,0,3,0,0,0,1.814,5,Staves,
Staff of air,Free-to-play,0,-1,7,10,0,2,3,1,10,0,3,0,0,0,2.267,5,Staves,
Staff of balance,Members,55,70,0,17,0,0,3,3,17,0,72,0,15,0,1.5,4,Bladed staves,
Staff of bob the cat,Members,2,-1,10,10,0,2,3,1,10,0,7,0,0,0,2,5,Staves,
Staff of earth,Free-to-play,1,-1,9,10,0,2,3,1,10,0,5,0,0,0,2.267,5,Staves,
Staff of fire,Free-to-play,3,-1,9,10,0,2,3,1,10,0,6,0,0,0,2.267,5,Staves,
Staff of light,Members,55,70,0,17,0,0,3,3,17,0,72,0,15,0,1.5,4,Bladed staves,
Staff of the dead,Members,55,70,0,17,0,0,3,3,17,0,72,0,15,0,1.5,4,Bladed staves,
Staff of water,Free-to-play,0,-1,7,10,0,2,3,1,10,0,3,0,0,0,2.267,5,Staves,
Stale baguette,Free-to-play,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,2.267,4,Blunt weapons,
Statius's warhammer,Members,-4,-4,123,0,0,0,0,0,0,0,114,0,0,0,1.814,5,Blunt weapons,
Steam battlestaff,Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Steam battlestaff (or),Members,7,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Steel axe,Free-to-play,-2,8,6,0,0,0,1,0,0,0,9,0,0,0,1.36,5,Axes,
Steel battleaxe,Free-to-play,-2,16,11,0,0,0,0,0,0,-1,20,0,0,0,2.721,6,Axes,
Steel crossbow,Members,0,0,0,0,54,0,0,0,0,0,0,0,0,0,5,6,Crossbows,
Steel dagger,Free-to-play,8,4,-4,1,0,0,0,0,1,0,7,0,0,0,0.453,4,Stabbing swords,
Steel dart,Members,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,3,Thrown weapons,
Steel hasta Karambwan_poison,Members,12,12,12,0,0,-3,-3,-3,0,-3,12,0,0,0,2.267,5,Spears,
Steel hasta Unpoisoned,Members,12,12,12,0,0,-3,-3,-3,0,-3,12,0,0,0,2.267,5,Spears,
Steel knife,Members,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,3,Thrown weapons,
Steel longsword,Free-to-play,9,14,-2,0,0,0,3,2,0,0,16,0,0,0,1.814,5,Slashing swords,
Steel mace,Free-to-play,7,-2,13,0,0,0,0,0,0,0,11,0,0,2,1.814,5,Spiked weapons,
Steel pickaxe,Free-to-play,8,-2,6,0,0,0,1,0,0,0,9,0,0,0,2.267,5,Pickaxes,
Steel scimitar,Free-to-play,3,15,-2,0,0,0,1,0,0,0,14,0,0,0,1.814,4,Slashing swords,
Steel sword,Free-to-play,11,8,-2,0,0,0,2,1,0,0,12,0,0,0,1.814,4,Stabbing swords,
Steel thrownaxe,Members,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,5,Thrown weapons,
Steel warhammer,Free-to-play,-4,-4,18,-4,0,0,0,0,0,0,16,0,0,0,1.814,6,Blunt weapons,
Swift blade,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,3,Stabbing swords,
Teacher wand,Members,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0.226,4,Staves,
Thammaron's sceptre,Members,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0.198,4,Staves,
Toktz-xil-ak,Members,47,38,-2,0,0,2,3,0,0,0,49,0,0,0,1.814,4,Stabbing swords,
Toktz-xil-ek,Members,16,48,0,0,0,0,0,0,0,0,39,0,0,0,0.453,4,Slashing swords,
Toktz-xil-ul,Members,0,0,0,0,69,0,0,0,0,0,0,49,0,0,0,4,Thrown weapons,
Toxic staff of the dead Charged,Members,55,70,0,25,0,0,3,3,17,0,72,0,15,0,1.5,4,Bladed staves,
Toxic staff of the dead Uncharged,Members,55,70,0,17,0,0,3,3,17,0,72,0,15,0,1.5,4,Bladed staves,
Training sword,Free-to-play,4,3,-2,0,0,0,2,1,0,0,5,0,0,0,1.814,4,Stabbing swords,
Treasure flag,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Trident of the seas,Members,0,0,0,15,0,2,3,1,15,0,0,0,0,0,1.814,4,Powered staves,
Trident of the swamp,Members,0,0,0,25,0,2,3,1,15,0,0,0,0,0,1.814,4,Powered staves,
Trollweiss,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,5,Blunt weapons,
Twisted banner,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Twisted cane,Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,5,Spiked weapons,
Tzhaar-ket-em,Members,-4,-4,62,0,0,0,0,0,0,0,56,0,0,0,1.814,5,Blunt weapons,
Undead chicken (item),Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.453,4,Blunt weapons,
Vesta's blighted longsword Active,Members,106,121,-2,0,0,1,4,3,0,0,118,0,0,0,1.814,5,Slashing swords,
Vesta's blighted longsword Inactive,Members,106,121,-2,0,0,1,4,3,0,0,118,0,0,0,1.814,5,Slashing swords,
Vesta's longsword,Members,106,121,-2,0,0,1,4,3,0,0,118,0,0,0,1.814,5,Slashing swords,
Viggora's chainmace Charged,Members,53,-2,67,0,0,0,1,0,0,0,66,0,0,2,2,4,Spiked weapons,
Viggora's chainmace Uncharged,Members,53,-2,67,0,0,0,1,0,0,0,66,0,0,2,2,4,Spiked weapons,
Void knight mace,Members,22,0,41,8,0,2,2,2,2,2,38,0,0,6,1.814,5,Staves,
Volatile nightmare staff,Members,0,0,0,16,0,0,0,0,14,0,0,0,15,0,1.6,5,Staves,
Volcanic abyssal whip,Members,0,82,0,0,0,0,0,0,0,0,82,0,0,0,0.453,4,Whips,
Water battlestaff,Members,10,-1,28,10,0,2,3,1,10,0,35,0,0,0,2.267,5,Staves,
Western banner 1,Members,12,12,12,0,0,1,1,0,0,0,12,0,0,0,2.267,5,Polestaves,
Western banner 2,Members,15,15,15,0,0,1,1,0,0,0,16,0,0,0,2.267,5,Polestaves,
Western banner 3,Members,17,17,17,0,0,1,1,0,0,0,18,0,0,0,2.267,5,Polestaves,
Western banner 4,Members,24,24,24,0,0,1,1,0,0,0,28,0,0,0,2.267,5,Polestaves,
White battleaxe,Members,-2,20,15,0,0,0,0,0,0,-1,24,0,0,1,2.721,6,Axes,
White dagger,Members,10,5,-4,1,0,0,0,0,1,0,7,0,0,1,0.453,4,Stabbing swords,
White flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
White longsword,Members,13,18,-2,0,0,0,3,2,0,0,16,0,0,1,1.814,5,Slashing swords,
White mace,Members,8,-2,16,0,0,0,0,0,0,0,13,0,0,3,1.814,5,Spiked weapons,
White magic staff,Members,2,-1,10,10,0,2,3,1,10,0,7,0,0,1,2.267,5,Staves,
White scimitar,Members,4,19,-2,0,0,0,1,0,0,0,14,0,0,1,1.814,4,Slashing swords,
White sword,Members,14,10,-2,0,0,0,2,1,0,0,12,0,0,1,1.814,4,Stabbing swords,
White warhammer,Members,-4,-4,22,-4,0,0,0,0,0,0,19,0,0,1,1.814,6,Blunt weapons,
Wilderness sword 1,Members,6,4,-2,0,0,0,2,1,0,0,7,0,0,0,1.814,4,Stabbing swords,
Wilderness sword 2,Members,11,8,-2,0,0,0,2,1,0,0,12,0,0,0,1.814,4,Stabbing swords,
Wilderness sword 3,Members,16,11,-2,0,0,0,2,1,0,0,17,0,0,0,1.814,4,Stabbing swords,
Wilderness sword 4,Members,23,18,-2,0,0,0,2,1,0,0,24,0,0,0,1.814,4,Stabbing swords,
Willow blackjack,Members,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1.814,4,Blunt weapons,
Willow blackjack(d),Members,0,0,0,0,0,0,0,8,0,0,8,0,0,0,1.814,4,Blunt weapons,
Willow blackjack(o),Members,0,0,8,0,0,0,0,0,0,0,8,0,0,0,1.814,4,Blunt weapons,
Wolfbane,Members,11,5,-4,1,0,0,0,0,1,0,10,0,0,5,0.453,4,Stabbing swords,
Wooden spoon,Members,4,5,-2,0,0,0,3,2,0,0,7,0,0,0,0.453,5,Slashing swords,
Wooden sword,Members,4,3,-2,0,0,0,2,1,0,0,5,0,0,0,1.814,4,Stabbing swords,
Yellow flowers,Members,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,0.028,4,Blunt weapons,
Zamorak banner,Free-to-play,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267,4,Banners,
Zamorak crozier,Members,7,-1,25,10,0,2,3,1,10,0,32,0,0,6,2,5,Staves,
Zamorak staff,Members,-1,-1,6,6,0,2,3,1,6,0,2,0,0,0,2.267,5,Staves,
Zamorakian hasta,Members,85,65,65,0,0,13,13,12,0,13,75,0,0,2,3,4,Spears,
Zombie head (Treasure Trails),Members,-4,-4,10,-4,0,0,0,0,0,0,8,0,0,0,1.814,6,Blunt weapons,
Zombie monkey greegree (big),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Zombie monkey greegree (small),Members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,Unarmed,
Zuriel's staff,Members,13,-1,65,18,0,5,7,4,18,0,72,0,10,0,2.267,5,Staves,
